customer_unique_id,payment_type,total_payment_installments,total_payment_value,geolocation_lat,geolocation_lng,total_payment_sequential
0503aa9015de64a6655ea58bf32c6034,boleto,1.0,81.89,-23.6548,-46.7724,1.0
05040c74e2cd51e7d6fd425b5c94a37f,credit_card,7.0,74.46,-25.4257,-49.2539,1.0
050b06cf630edd6254091a964ad8880b,credit_card,1.0,27.77,-23.1894,-46.9216,1.0
050d050af169f87216bbe2475815112c,boleto,1.0,199.35,-23.2552,-47.2978,1.0
050d0eae3cbee16d261fb66f313163dc,debit_card,1.0,134.59,-23.6048,-46.6936,1.0
0524902d85f78a73cad0686ab836581f,credit_card,5.0,114.45,-22.7293,-43.4632,1.0
0526069a90ad5605a9b7b0c21bb9d1ca,credit_card,1.0,10.81,-23.4828,-46.5435,1.0
0532d96f4f22a1fd1fb643c84f834fc0,credit_card,1.0,17.59,-29.6878,-51.468,1.0
054608e7e7497b9bf5bf78be88820822,credit_card,5.0,76.64,-24.1119,-46.6654,1.0
054ffdea48c902c9ec66095e46b74c46,credit_card,1.0,24.82,-23.9575,-46.3268,1.0
055cb384b9943609b975e574725f9fe1,credit_card,1.0,82.7,-22.4793,-44.5571,1.0
0561627154992057c23a3630478e6a44,voucher,1.0,45.95,-20.2962,-40.3208,1.0
0566eb08d5fd8bb33308595daa60035f,credit_card,10.0,175.25,-19.9049,-43.9369,1.0
057854159bbc3a0aca93bbecd210c495,credit_card,2.0,80.56,-6.0744,-49.9064,1.0
057ef0b5aa3ce2afa4394072a4d11c7e,voucher,1.0,156.19,-19.6739,-51.1929,1.0
05855ed55d97bc464aff435959536301,boleto,1.0,52.29,-23.5416,-46.3001,1.0
0585e62fb157dcf017fb8be5d6569d51,credit_card,1.0,67.29,-22.7535,-47.327,1.0
058d762747c6abfa37aab7f46a08a110,boleto,1.0,521.54,-22.1871,-47.3712,1.0
059ba8400bf965adf606ecc7ef3396e9,credit_card,3.0,205.26,-29.7926,-51.8612,1.0
059fa076fac3b456fd6592d4f7142b9e,credit_card,1.0,162.26,-22.9302,-43.3464,1.0
05a0d2f74bfcf5c9f349eeff7939ce76,credit_card,2.0,198.73,-22.7367,-45.5864,1.0
05a16ff4eb1c5d210f658103c2f34d21,boleto,1.0,114.44,-16.9665,-50.461,1.0
05ad5f7e74d3cfc5f83c8ef5b0481f4c,credit_card,10.0,444.25,-19.6336,-43.9854,1.0
05b072d40a72efe9dc9752cb3ac00dd6,boleto,1.0,86.15,-21.186,-50.4593,1.0
05b0f3be535890cfa3de97c815033cfb,boleto,1.0,113.15,-23.7554,-46.683,1.0
05cb25c0b98e8d6f839049d97adfecab,credit_card,10.0,814.37,-7.9192,-34.9265,1.0
05ccf48d62388b60b669b482762ab6f9,credit_card,1.0,194.92,-14.6665,-52.3539,1.0
05d6cbef1ece68d2e6252d0c1c7a79cf,boleto,1.0,106.34,-12.934,-38.3593,1.0
05d7600f5c526e0722b3e07059588bcb,credit_card,6.0,376.12,-24.9447,-53.4903,1.0
05e5cdba492bb2f2881b3490315f27ce,credit_card,1.0,71.27,-23.6271,-46.4669,1.0
05f333bbee58f087059bfc39c263d9e4,credit_card,2.0,25.67,-23.4813,-46.7434,1.0
05f38cf30b71a72c61c06ad56c05db96,credit_card,1.0,84.69,-23.9723,-46.3144,1.0
05f3dc786133949e98a4d55501a1722f,boleto,1.0,81.89,-15.1526,-42.871,1.0
05fcdc230a939176b681b45fee88bba1,credit_card,1.0,188.89,-23.5436,-46.6878,1.0
0609a9ba59ed54c5217df763d23fc015,credit_card,2.0,84.49,-15.8426,-47.9758,1.0
060f9ea0a180843fb91d4923b6d01bea,credit_card,8.0,375.41,-28.0297,-54.3499,1.0
061b86395a4b70077d2db1d1f5290c30,credit_card,1.0,59.14,-23.7065,-46.8589,1.0
061c02decabc23ac9bd36e267030fa2c,boleto,1.0,52.59,-16.7255,-49.341,1.0
0629b2e23c657cde1105b8282ba336ae,boleto,1.0,51.34,-21.204,-49.2931,1.0
062d40ed42ac84fe9d779277fb7ed109,boleto,1.0,13.36,-23.5783,-46.6425,1.0
064ca07a0cb37e7a2ae5d83994bd5dba,credit_card,2.0,95.34,-23.6358,-46.6355,1.0
064e72f6dd03299e76320bd106b803c0,credit_card,1.0,41.43,-23.652,-46.7603,1.0
0663999f33587a57ed5b648b7c569f77,boleto,1.0,68.62,-20.7444,-46.8612,1.0
0667bb0a00fe1219421427d5ec80f653,credit_card,1.0,69.58,-22.6833,-43.254,1.0
0676ed36c5d0ebe8fa2466b73043bb4d,credit_card,3.0,218.04,-18.3688,-40.826,1.0
06830309e5aa3fe04ec416e56e53a4e3,boleto,1.0,255.96,-8.0455,-34.9084,1.0
06846137f99fc5cf2935c181711349b9,credit_card,1.0,92.1,-19.7294,-50.1996,1.0
0697142614905a50813d854fa08b8eaf,credit_card,1.0,46.53,-23.9976,-46.3032,1.0
069ae72e12aa7c92b8a87dda4ccb86ac,credit_card,5.0,84.56,-23.452,-46.5572,1.0
06a1c3debf78ec7a3525040f6d9c16fb,credit_card,9.0,196.92,-23.6401,-46.5162,1.0
06a8f60ddb6457808b21134ce74f2f6a,boleto,1.0,54.0,-22.9129,-43.1883,1.0
06b62401a89eed34edccffcdcd014bd6,credit_card,10.0,190.86,-21.1326,-48.9588,1.0
06b672c7ae6d7ef4cbe41318c397537a,boleto,1.0,128.55,-25.4179,-49.2068,1.0
06b825ab0cda1781409d7188a56adb20,credit_card,10.0,1046.56,-22.8294,-43.014,1.0
